Name,Date,Prev_close,Close,Per_diff
PAGEIND,03-01-2022 00:00,40421.55,42426.05,4.95898846
PAGEIND,01-02-2022 00:00,42426.05,39803.3,-6.181933034
PAISALO,01-01-2020 00:00,433,261.65,-39.57274827
PAISALO,01-02-2020 00:00,261.65,236.95,-9.440091726
PAISALO,02-03-2020 00:00,236.95,163.25,-31.10360836
PAISALO,01-04-2020 00:00,163.25,169.2,3.644716692
PAISALO,04-05-2020 00:00,169.2,153.2,-9.456264775
PAISALO,01-06-2020 00:00,153.2,214.5,40.01305483
PAISALO,01-07-2020 00:00,214.5,333.15,55.31468531
PAISALO,03-08-2020 00:00,333.15,438.3,31.5623593
PAISALO,01-09-2020 00:00,438.3,419.2,-4.357745836
PAISALO,01-10-2020 00:00,419.2,385.75,-7.979484733
PAISALO,02-11-2020 00:00,385.75,381.5,-1.101749838
PAISALO,01-12-2020 00:00,381.5,702.75,84.20707733
PAISALO,01-01-2021 00:00,702.75,696.45,-0.896478122
PAISALO,01-02-2021 00:00,696.45,829.65,19.12556537
PAISALO,01-03-2021 00:00,829.65,790,-4.779123727
PAISALO,01-04-2021 00:00,790,604.95,-23.42405063
PAISALO,03-05-2021 00:00,604.95,617.1,2.008430449
PAISALO,01-06-2021 00:00,617.1,612.45,-0.75352455
PAISALO,01-07-2021 00:00,612.45,657.85,7.412850029
PAISALO,02-08-2021 00:00,657.85,659.2,0.205213955
PAISALO,01-09-2021 00:00,659.2,892.6,35.4065534
PAISALO,01-10-2021 00:00,892.6,941.1,5.433564867
PAISALO,01-11-2021 00:00,941.1,963,2.327064074
PAISALO,01-12-2021 00:00,963,726.25,-24.58463136
PAISALO,03-01-2022 00:00,726.25,697.15,-4.006884682
PAISALO,01-02-2022 00:00,697.15,719.4,3.19156566
ORIENTPPR,01-01-2020 00:00,26.3,25.1,-4.562737643
ORIENTPPR,01-02-2020 00:00,25.1,20.95,-16.53386454
ORIENTPPR,02-03-2020 00:00,20.95,14.5,-30.7875895
ORIENTPPR,01-04-2020 00:00,14.5,18.95,30.68965517
ORIENTPPR,04-05-2020 00:00,18.95,17.6,-7.124010554
ORIENTPPR,01-06-2020 00:00,17.6,20.3,15.34090909
ORIENTPPR,01-07-2020 00:00,20.3,18,-11.33004926
